"ProductKey","CurrencyAlternateKey","OrderDateKey","OrderQuantity","UnitPrice","SecretCode","FIRST_NAME","LAST_NAME"
"321","AUD","20120807","1","782,99","","Adams","Amber"
"333","AUD","20121113","1","782,99","","Alan","Bob"
"329","AUD","20120817","1","782,99","","Alexander","Austin"
"480","AUD","20130215","1","2,29","","Alexander","Austin"
"486","AUD","20130215","1","159,00","","Alexander","Austin"
"538","AUD","20130215","1","21,49","","Alexander","Austin"
"604","AUD","20130215","1","539,99","","Alexander","Austin"
"354","AUD","20120519","1","2071,4196","","Alexander","Elizabeth"
"480","AUD","20130213","1","2,29","","Alexander","Gabriel"
"529","AUD","20130213","1","3,99","","Alexander","Gabriel"
"540","AUD","20130213","1","32,60","","Alexander","Gabriel"
"358","AUD","20120924","1","2049,0982","","Alexander","Olivia"
"310","AUD","20110330","1","3578,27","","Allen","Alexandra"
"358","AUD","20121203","1","2049,0982","","Allen","Ian"
"343","AUD","20120712","1","782,99","","Allen","Kaylee"
"321","AUD","20120103","1","782,99","","Allen","Luis"
"375","AUD","20120125","1","2181,5625","","Allen","Mary"
"371","AUD","20120725","1","2181,5625","","Alonso","Alfredo"
"360","AUD","20120701","1","2049,0982","","Alonso","Armando"
"375","AUD","20120821","1","2181,5625","","Alonso","Casey"
"313","AUD","20110509","1","3578,27","","Alonso","Danny"
"214","AUD","20130112","1","34,99","","Alonso","Danny"
"378","AUD","20130112","1","2443,35","","Alonso","Danny"
"379","AUD","20121210","1","2181,5625","","Alonso","Diana"
"313","AUD","20110714","1","3578,27","","Alonso","Gary"
"311","AUD","20110906","1","3578,27","","Alonso","Gloria"
"310","AUD","20110202","1","3578,27","","Alonso","Kristine"
"379","AUD","20121102","1","2181,5625","","Alonso","Meghan"
"312","AUD","20111206","1","3578,27","","Alonso","Meredith"
"356","AUD","20121220","1","2071,4196","","Alonso","Naomi"
"377","AUD","20121014","1","2181,5625","","Alonso","Renee"
"362","AUD","20120817","1","2049,0982","","Alonso","Ricky"
"529","AUD","20130202","1","3,99","","Alonso","Teresa"
"487","AUD","20130209","1","54,99","","Alonso","Teresa"
"310","AUD","20101230","1","3578,27","","Alvarez","Albert"
"377","AUD","20120723","1","2181,5625","","Alvarez","Carrie"
"362","AUD","20120714","1","2049,0982","","Alvarez","Diana"
"373","AUD","20120210","1","2181,5625","","Alvarez","Francis"
"312","AUD","20110625","1","3578,27","","Alvarez","Gloria"
"346","AUD","20110124","1","3399,99","","Alvarez","Janet"
"357","AUD","20121229","1","2319,99","","Alvarez","Janet"
"477","AUD","20121229","1","4,99","","Alvarez","Janet"
"478","AUD","20121229","1","9,99","","Alvarez","Janet"
"362","AUD","20120904","1","2049,0982","","Alvarez","Jessie"
"348","AUD","20110503","1","3374,99","","Alvarez","Kari"
"361","AUD","20121230","1","2294,99","","Alvarez","Kari"
"537","AUD","20121230","1","35,00","","Alvarez","Kari"
"360","AUD","20121120","1","2049,0982","","Alvarez","Kendra"
"360","AUD","20121102","1","2049,0982","","Alvarez","Kristy"
"352","AUD","20120923","1","2071,4196","","Alvarez","Larry"
"352","AUD","20120731","1","2071,4196","","Alvarez","Linda"
"214","AUD","20130109","1","34,99","","Alvarez","Linda"
"579","AUD","20130109","1","1214,85","","Alvarez","Linda"
"343","AUD","20120802","1","782,99","","Alvarez","Lori"
"375","AUD","20120905","1","2181,5625","","Alvarez","Marvin"
"345","AUD","20111122","1","3399,99","","Alvarez","Max"
"343","AUD","20120922","1","782,99","","Alvarez","Randall"
"312","AUD","20110702","1","3578,27","","Alvarez","Reginald"
"347","AUD","20110910","1","3399,99","","Alvarez","Stacy"
"354","AUD","20121022","1","2071,4196","","Alvarez","Tabitha"
"310","AUD","20110327","1","3578,27","","Alvarez","Tanya"
"371","AUD","20120830","1","2181,5625","","Anand","Alison"
"351","AUD","20110411","1","3374,99","","Anand","Andr?s"
"361","AUD","20130222","1","2294,99","","Anand","Andr?s"
"342","AUD","20111026","1","699,0982","","Anand","Carly"
"368","AUD","20121128","1","2443,35","","Anand","Chad"
"352","AUD","20120806","1","2071,4196","","Anand","Johnny"
"222","AUD","20130216","1","34,99","","Anand","Johnny"
"530","AUD","20130216","1","4,99","","Anand","Johnny"
"541","AUD","20130216","1","28,99","","Anand","Johnny"
"560","AUD","20130216","1","1214,85","","Anand","Johnny"
"349","AUD","20111103","1","3374,99","","Anand","Kara"
"310","AUD","20110710","1","3578,27","","Anand","Katrina"
"312","AUD","20111117","1","3578,27","","Anand","Kelli"
"358","AUD","20120830","1","2049,0982","","Anand","Leonard"
"311","AUD","20110927","1","3578,27","","Anand","Ni?ia"
"225","AUD","20130218","1","8,99","","Andersen","Ashlee"
"477","AUD","20130218","1","4,99","","Andersen","Ashlee"
"479","AUD","20130218","1","8,99","","Andersen","Ashlee"
"489","AUD","20130218","1","53,99","","Andersen","Ashlee"
"356","AUD","20121024","1","2071,4196","","Andersen","Brendan"
"351","AUD","20110222","1","3374,99","","Andersen","Carl"
"357","AUD","20130127","1","2319,99","","Andersen","Carl"
"381","AUD","20120904","1","1000,4375","","Andersen","Colin"
"369","AUD","20120430","1","2443,35","","Andersen","Drew"
"327","AUD","20121101","1","782,99","","Andersen","Gilbert"
"312","AUD","20111101","1","3578,27","","Andersen","Jenny"
"379","AUD","20120605","1","2181,5625","","Andersen","Karl"
"217","AUD","20130101","1","34,99","","Andersen","Karl"
"386","AUD","20130101","1","1120,49","","Andersen","Karl"
"463","AUD","20130101","1","24,49","","Andersen","Karl"
"217","AUD","20130201","1","34,99","","Andersen","Kelvin"
"528","AUD","20130201","1","4,99","","Andersen","Kelvin"
"358","AUD","20121227","1","2049,0982","","Andersen","Marshall"
"311","AUD","20110604","1","3578,27","","Andersen","Nina"
"217","AUD","20130216","1","34,99","","Andersen","Roger"
"477","AUD","20130216","1","4,99","","Andersen","Roger"
"313","AUD","20110824","1","3578,27","","Andersen","Shawna"
"379","AUD","20121128","1","2181,5625","","Andersen","Tara"
"362","AUD","20120708","1","2049,0982","","Andersen","Tonya"
"310","AUD","20111219","1","3578,27","","Andersen","Tracy"
"351","AUD","20111005","1","3374,99","","Andersen","Warren"
"344","AUD","20110421","1","3399,99","","Anderson","Blake"
"353","AUD","20121231","1","2319,99","","Anderson","Blake"
"487","AUD","20121231","1","54,99","","Anderson","Blake"
"381","AUD","20120708","1","1000,4375","","Anderson","Richard"
"354","AUD","20121212","1","2071,4196","","Anderson","Victoria"
"369","AUD","20120505","1","2443,35","","Arthur","Cassandra"
"358","AUD","20120312","1","2049,0982","","Arthur","Jay"
"310","AUD","20110203","1","3578,27","","Arthur","Kristi"
"480","AUD","20130216","1","2,29","","Arthur","Kristi"
"528","AUD","20130216","1","4,99","","Arthur","Kristi"
"536","AUD","20130216","1","29,99","","Arthur","Kristi"
"590","AUD","20130216","1","769,49","","Arthur","Kristi"
"313","AUD","20111028","1","3578,27","","Arthur","Raymond"
"373","AUD","20120606","1","2181,5625","","Arthur","Rebekah"
"310","AUD","20110714","1","3578,27","","Arthur","Regina"
"310","AUD","20110111","1","3578,27","","Arthur","Tabitha"
"222","AUD","20130220","1","34,99","","Arthur","Tabitha"
"234","AUD","20130220","1","49,99","","Arthur","Tabitha"
"390","AUD","20130220","1","1120,49","","Arthur","Tabitha"
"356","AUD","20120701","1","2071,4196","","Arun","Brenda"
"538","AUD","20130201","1","21,49","","Arun","Bryant"
"370","AUD","20120203","1","2443,35","","Arun","Candace"
"312","AUD","20110108","1","3578,27","","Arun","Cory"
"334","AUD","20111218","1","699,0982","","Arun","Gerald"
"377","AUD","20120128","1","2181,5625","","Arun","Nancy"
"371","AUD","20120919","1","2181,5625","","Arun","Ross"
"312","AUD","20110309","1","3578,27","","Arun","Ruth"
"356","AUD","20121109","1","2071,4196","","Arun","Troy"
"389","AUD","20121222","1","1000,4375","","Ashe","Brad"
"370","AUD","20120530","1","2443,35","","Ashe","Briana"
"225","AUD","20130105","1","8,99","","Ashe","Briana"
"491","AUD","20130105","1","53,99","","Ashe","Briana"
"580","AUD","20130105","1","1700,99","","Ashe","Briana"
"311","AUD","20111111","1","3578,27","","Ashe","Deanna"
"310","AUD","20110114","1","3578,27","","Ashe","Ebony"
"375","AUD","20120118","1","2181,5625","","Ashe","Joanna"
"480","AUD","20130221","1","2,29","","Ashe","Kathryn"
"540","AUD","20130221","1","32,60","","Ashe","Kathryn"
"310","AUD","20111109","1","3578,27","","Ashe","Maurice"
"345","AUD","20110830","1","3399,99","","Ashe","Orlando"
"311","AUD","20110712","1","3578,27","","Ashe","Tara"
"369","AUD","20120628","1","2443,35","","Baker","Jose"
"362","AUD","20121107","1","2049,0982","","Barnes","Faith"
"369","AUD","20120422","1","2443,35","","Barnes","Julia"
"313","AUD","20110917","1","3578,27","","Barnes","Mariah"
"360","AUD","20120906","1","2049,0982","","Barnes","Taylor"
"350","AUD","20110106","1","3374,99","","Beck","Alejandro"
"357","AUD","20130120","1","2319,99","","Beck","Alejandro"
"472","AUD","20130120","1","63,50","","Beck","Alejandro"
"485","AUD","20130120","1","21,98","","Beck","Alejandro"
"310","AUD","20110313","1","3578,27","","Beck","Alicia"
"354","AUD","20120828","1","2071,4196","","Beck","April"
"331","AUD","20120824","1","782,99","","Beck","Ashlee"
"477","AUD","20130105","1","4,99","","Beck","Ashlee"
"479","AUD","20130105","1","8,99","","Beck","Ashlee"
"605","AUD","20130105","1","539,99","","Beck","Ashlee"
"337","AUD","20120618","1","782,99","","Beck","Barbara"
"352","AUD","20120610","1","2071,4196","","Becker","Gregory"
"377","AUD","20120121","1","2181,5625","","Becker","Kara"
"346","AUD","20111028","1","3399,99","","Becker","Kelsey"
"370","AUD","20120410","1","2443,35","","Bell","Jessica"
"339","AUD","20121109","1","782,99","","Bell","Stephanie"
"360","AUD","20120424","1","2049,0982","","Bhat","Edwin"
"354","AUD","20121029","1","2071,4196","","Bhat","Yolanda"
"314","AUD","20110612","1","3578,27","","Black","Mindy"
"214","AUD","20130129","1","34,99","","Black","Priscilla"
"356","AUD","20121010","1","2071,4196","","Black","Shawna"
"214","AUD","20130211","1","34,99","","Black","Tonya"
"234","AUD","20130211","1","49,99","","Black","Tonya"
"528","AUD","20130211","1","4,99","","Black","Tonya"
"383","AUD","20120423","1","1000,4375","","Black","Tracy"
"371","AUD","20120709","1","2181,5625","","Blanco","Billy"
"354","AUD","20120620","1","2071,4196","","Blanco","Cheryl"
"369","AUD","20120622","1","2443,35","","Blanco","Hector"
"314","AUD","20111119","1","3578,27","","Blanco","J?sus"
"369","AUD","20120108","1","2443,35","","Blanco","Larry"
"310","AUD","20110212","1","3578,27","","Blanco","Lee"
"377","AUD","20120324","1","2181,5625","","Blanco","Mallory"
"381","AUD","20120515","1","1000,4375","","Blanco","Marc"
"217","AUD","20130201","1","34,99","","Blanco","Micheal"
"477","AUD","20130201","1","4,99","","Blanco","Micheal"
"478","AUD","20130201","1","9,99","","Blanco","Micheal"
"485","AUD","20130209","1","21,98","","Blanco","Micheal"
"528","AUD","20130209","1","4,99","","Blanco","Micheal"
"535","AUD","20130209","1","24,99","","Blanco","Micheal"
"352","AUD","20120803","1","2071,4196","","Blanco","Monique"
"360","AUD","20121203","1","2049,0982","","Blanco","Natasha"
"369","AUD","20120501","1","2443,35","","Blanco","Orlando"
"369","AUD","20121022","1","2443,35","","Blanco","Robyn"
"313","AUD","20111001","1","3578,27","","Blanco","Rodney"
"222","AUD","20130131","1","34,99","","Blanco","Rodney"
"584","AUD","20130131","1","539,99","","Blanco","Rodney"
"356","AUD","20121126","1","2071,4196","","Blanco","Victor"
"480","AUD","20130204","1","2,29","","Bradley","Diane"
"539","AUD","20130204","1","24,99","","Bradley","Diane"
"360","AUD","20120807","1","2049,0982","","Bradley","Emma"
"369","AUD","20121128","1","2443,35","","Brooks","Jared"
"312","AUD","20111020","1","3578,27","","Browning","Janet"
"369","AUD","20120703","1","2443,35","","Browning","Javier"
"370","AUD","20121015","1","2443,35","","Browning","Jay"
"310","AUD","20111125","1","3578,27","","Bryant","Fernando"
"480","AUD","20130128","1","2,29","","Butler","Austin"
"222","AUD","20130131","1","34,99","","Butler","Austin"
"477","AUD","20130131","1","4,99","","Butler","Austin"
"478","AUD","20130131","1","9,99","","Butler","Austin"
"485","AUD","20130131","1","21,98","","Butler","Austin"
"354","AUD","20120629","1","2071,4196","","Butler","Hannah"
"310","AUD","20110403","1","3578,27","","Butler","Jason"
"329","AUD","20120910","1","782,99","","Butler","Katherine"
"480","AUD","20130210","1","2,29","","Cai","Alvin"
"535","AUD","20130210","1","24,99","","Cai","Alvin"
"387","AUD","20120608","1","1000,4375","","Cai","Amy"
"371","AUD","20120408","1","2181,5625","","Cai","Bianca"
"329","AUD","20120814","1","782,99","","Cai","Candice"
"314","AUD","20110817","1","3578,27","","Cai","Cedric"
"377","AUD","20120207","1","2181,5625","","Cai","Curtis"
"358","AUD","20121127","1","2049,0982","","Cai","Jeffery"
"373","AUD","20120413","1","2181,5625","","Cai","Jorge"
"370","AUD","20120525","1","2443,35","","Cai","Karen"
"381","AUD","20120904","1","1000,4375","","Cai","Suzanne"
"312","AUD","20110509","1","3578,27","","Cai","Tiffany"
"387","AUD","20120611","1","1000,4375","","Cai","Warren"
"343","AUD","20120122","1","782,99","","Cai","Willie"
"379","AUD","20120901","1","2181,5625","","Campbell","Devin"
"362","AUD","20120721","1","2049,0982","","Campbell","Jason"
"314","AUD","20110712","1","3578,27","","Campbell","Seth"
"485","AUD","20130222","1","21,98","","Carlson","Armando"
